infinitive,form,parts
amāre,present active,amo/amāre/amavi/amatus
amari,present passive,amo/amāre/amavi/amatus
amavisse,perfect active,amo/amāre/amavi/amatus
amatus esse,perfect passive,amo/amāre/amavi/amatus
ducere,present active,duco/ducere/duxi/ductus
duci,present passive,duco/ducere/duxi/ductus
duxisse,perfect active,duco/ducere/duxi/ductus
ductus esse,perfect passive,duco/ducere/duxi/ductus
vidēre,present active,video/vidēre/vidi/visus
videri,present passive,video/vidēre/vidi/visus
vidisse,perfect active,video/vidēre/vidi/visus
visus esse,perfect passive,video/vidēre/vidi/visus
audīre,present active,audio/audīre/audivi/auditus
audiri,present passive,audio/audīre/audivi/auditus
audivisse,perfect active,audio/audīre/audivi/auditus
auditus esse,perfect passive,audio/audīre/audivi/auditus
capere,present active,capio/capere/cepi/captus
capi,present passive,capio/capere/cepi/captus
cepisse,perfect active,capio/capere/cepi/captus
captus esse,perfect passive,capio/capere/cepi/captus
