dictionary,form,tense,mood,voice,gender
amo/amare/amavi/amatus,amet,present,subjunctive,active,NA
amo/amare/amavi/amatus,amaretur,imperfect,subjunctive,passive,NA
amo/amare/amavi/amatus,amata sit,perfect,subjunctive,passive,feminine
amo/amare/amavi/amatus,amatus esset,pluperfect,subjunctive,passive,masculine
amo/amare/amavi/amatus,amaverit,perfect,subjunctive,active,NA
amo/amare/amavi/amatus,amavisset,pluperfect,subjunctive,active,NA
duco/ducere/duxi/ductus,ductus esset,pluperfect,subjunctive,passive,masculine
duco/ducere/duxi/ductus,ductae sint,perfect,subjunctive,passive,feminine
duco/ducere/duxi/ductus,duceretur,imperfect,subjunctive,passive,NA
duco/ducere/duxi/ductus,ducatur,present,subjunctive,passive,NA
duco/ducere/duxi/ductus,ducat,present,subjunctive,active,NA
duco/ducere/duxi/ductus,duceret,imperfect,subjunctive,active,NA
duco/ducere/duxi/ductus,duxerit,perfect,subjunctive,active,NA
duco/ducere/duxi/ductus,duxisset,pluperfect,subjunctive,active,NA
capio/capere/cepi/captus,cepisset,pluperfect,subjunctive,active,NA
capio/capere/cepi/captus,ceperit,perfect,subjunctive,active,NA
capio/capere/cepi/captus,capiatur,present,subjunctive,passive,NA
capio/capere/cepi/captus,caperetur,imperfect,subjunctive,passive,NA
capio/capere/cepi/captus,captum sit,perfect,subjunctive,passive,neuter
capio/capere/cepi/captus,capta sint,perfect,subjunctive,passive,neuter
video/vidēre/vidi/visus,videret,imperfect,subjunctive,active,NA
video/vidēre/vidi/visus,videretur,imperfect,subjunctive,passive,NA
video/vidēre/vidi/visus,viderit,perfect,subjunctive,active,NA
video/vidēre/vidi/visus,vidisset,pluperfect,subjunctive,active,NA
video/vidēre/vidi/visus,videret,imperfect,subjunctive,active,NA
video/vidēre/vidi/visus,videretur,imperfect,subjunctive,passive,NA
video/vidēre/vidi/visus,vidiatur,present,subjunctive,passive,NA
video/vidēre/vidi/visus,visus sit,perfect,subjunctive,passive,masculine
video/vidēre/vidi/visus,vidisset,pluperfect,subjunctive,passive,NA
